Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Using the waiting time distribution with random index dates to estimate prescription durations in the presence of seasonal stockpiling.,Bødkergaard K; Selmer Rm; Hallas J; Kjerpeseth Lj; Pottegård A; Skovlund E; Støvring H,"A pervasive problem in registry-based pharmacoepidemiological studies is what exposure duration to assign to individual prescriptions. The parametric waiting time distribution (wtd) has been proposed as a method to estimate such durations. However, when prescription durations vary due to seasonal stockpiling, wtd estimates will vary with choice of index date. To counter this, we propose using random index dates. Within a calendar period of a given length, δ, we randomly sample individual index dates. We include the last prescription redemption prior to the index date in the analysis. Only redemptions within distance δ of the index date are included. In a simulation study with varying types and degrees of stockpiling at the end of the year, we investigated bias and precision of the reverse wtd with fixed and random index dates, respectively. In addition, we applied the new method to estimate durations of norwegian warfarin prescriptions in 2014. In simulation settings with stockpiling, the reverse wtd with random index dates had low relative biases (-0.65% to 6.64%) and high coverage probabilities (92.0% to 95.3%), although when stockpiling was pronounced, coverage probabilities decreased (2.7% to 85.8%). Using a fixed index date was inferior. The estimated duration of warfarin prescriptions in norway using random index dates was 131 (130; 132) days. In the presence of seasonal stockpiling, the wtd with random index dates provides estimates of prescription durations, which are more stable, less biased and with better coverage when compared to using a fixed index date.",,,,,,,32436295,10.1002/pds.5026,,#2119,,"",""
Adverse drug reaction or innocent bystander? a systematic comparison of statistical discovery methods for spontaneous reporting systems.,Dijkstra L; Garling M; Foraita R; Pigeot I,"Spontaneous reporting systems (srss) are used to discover previously unknown relationships between drugs and adverse drug reactions (adrs). A plethora of statistical methods have been proposed over the years to identify these drug-adr pairs. The objective of this study is to compare a wide variety of methods in their ability to detect these signals, especially when their detection is complicated by the presence of innocent bystanders (drugs that are mistaken to be associated with the adr, since they are prescribed together with the drug that is the adr's actual cause). Twelve methods, 24 measures in total, ranging from simple disproportionality measures (eg, the reporting odds ratio), hypothesis tests (eg, test of the poisson mean), bayesian shrinkage estimates (eg, the bayesian confidence propagation neural network, bcpnn) to sparse regression (lasso), are compared in their ability to detect drug-adr pairs in a large number of simulated srss with varying numbers of innocent bystanders and effect sizes. The area under the precision-recall curve is used to assess the measures' performance. Hypothesis tests (especially the test of the poisson mean) perform best when the associations are weak and there is little to no confounding by other drugs. When the level of confounding increases and/or the effect sizes become larger, bayesian shrinkage methods should be preferred. The lasso proves to be the most robust against the innocent bystander effect. There is no absolute ""winner"". Which method to use for a particular srs depends on the effect sizes and the level of confounding present in the data.",,,,,,,32092786,10.1002/pds.4970,,#2122,,"",""
Improving measurement of binary covariates in claims data: a simulation study.,Connolly Jg; Glynn Rj; Schneeweiss S; Gagne Jj,"When investigators have two claims-based definitions for a binary confounder, it is unclear whether to prefer the more sensitive or more specific definition. Our objective was to compare adjusting for the sensitive or specific definition alone vs two novel approaches combining both definitions: a ""two-algorithm indicator"" and a ""two-algorithm restriction"" approach. Each simulated patient had a binary exposure, outcome, and confounder. We created two nested, misclassified versions of the confounder using validated heart failure definitions. The sensitive definition had a sensitivity/specificity of 0.98/0.83, while the specific definition had a sensitivity/specificity of 0.77/0.99. Patients were classified into 3 groups: group 0 did not meet either definition, group 1 met the sensitive but not specific definition, and group 2 met both. The two-algorithm indicator approach adjusted using indicators for groups 1 and 2, while the two-algorithm restriction approach excluded patients in group 1 and adjusted using an indicator for group 2. Adjusted exposure odds ratios (ors) were estimated for each approach using logistic regression. The crude or was 1.33 (95% ci, 1.07-1.63). Adjusting for the specific or sensitive definitions resulted in ors of 1.09 (95% ci, 0.87-1.35) and 1.14 (95% ci, 0.91-1.40). The two-algorithm indicator method returned an or of 1.07 (95% ci, 0.86-1.33). The two-algorithm restriction approach returned an or of 1.02 (95% ci, 0.79-1.29) but excluded 20% of the cohort. The two-algorithm indicator approach may improve adjustment for claims-based confounders by returning a point estimate at least as unbiased as the better of the two component definitions.",,,,,,,31972062,10.1002/pds.4961,,#2123,,"",""
Multiple imputation for systematically missing confounders within a distributed data drug safety network: a simulation study and real-world example.,Secrest Mh; Platt Rw; Reynier P; Dormuth Cr; Benedetti A; Filion Kb,"In distributed data networks, some data sites may be systematically missing important confounders that are captured by other sites in the network (eg, body mass index [bmi]). Multiple imputation may help repair bias in these scenarios. However, multiple imputation has not been described for distributed data networks where data access restrictions prevent centralized analysis. We conducted a simulation study and a real-world analysis using the uk's clinical practice research datalink to evaluate multiple imputation for confounders that are systematically missing from a subset of data sites in mock distributed data networks. The simulation study addressed univariate missing data, while the real-world analysis addressed multivariate missing data. Both studies were designed as retrospective cohort studies of the effect of current statin use on the risk of myocardial infarction among patients with newly treated type 2 diabetes. In our simulation study, multiple imputation repaired bias from missing bmi in all scenarios, with a median bias reduction of 118% in the default scenario. In our real-world study, the multiply imputed analysis (hazard ratio [hr]: 0.86; 95% confidence interval [ci], 0.69-1.08) was closer to the analysis that considered the true confounder values (hr: 0.85; 95% ci, 0.66-1.10) than the analysis that ignored them (hr: 0.93; 95% ci, 0.73-1.20). Multiple imputation adapted to distributed data settings is a feasible method to reduce bias from unmeasured but measurable confounders when at least one database contains the variables of interest. Further research is needed to evaluate its validity in real distributed data networks.",,,,,,,31486165,10.1002/pds.4876,,#2124,,"",""
Comparison of alternative approaches to trim subjects in the tails of the propensity score distribution.,Glynn Rj; Lunt M; Rothman Kj; Poole C; Schneeweiss S; Stürmer T,"In nonexperimental comparative effectiveness research, restricting analysis to subjects with better overlap of covariate distributions, hence greater treatment equipoise, helps balance the groups compared and can improve validity. Three alternative approaches, derived from different perspectives, implement restriction by trimming observations in the tails of the propensity score (ps). Across approaches, we compared the relationships between the overlap in treatment-specific ps distributions and the size of the balanced study population after trimming. The three trimming approaches considered were absolute trimming to the range 0.1<ps<0.9, asymmetric trimming to include subjects in both treatment groups with ps above the 5th percentile of the distribution in the target group and below the 95th percentile in the comparison group, and restriction to preference score values between 0.3 and 0.7. Comparisons of approaches used simulated pss from beta distributions and two example studies. The magnitude of the c-statistic strongly predicted (r  ≥.95) the percent of the balanced study population remaining. The balanced study population was largest under trimming at absolute ps levels, unless the target treatment was uncommon. Fewer than half of original study subjects remained after preference score trimming if c≥.80 and after asymmetric trimming if c≥.85. In examples, trimming improved the precision of estimated risk differences and identified apparent treatment effect heterogeneity in the ps tails where covariate balance was limited. Relative amounts of trimming in examples reflected the simulation results. Study populations with high ps c-statistics include only small percentages of subjects in whom valid treatment effects are confidently expected.",,,,,,,31385394,10.1002/pds.4846,,#2125,,"",""
A simulation study of the statistical power and signaling characteristics of an early season sequential test for influenza vaccine safety.,Forshee Ra; Hu M; Arya D; Perez-Vilar S; Anderson Sa; Lo Ac; Swarr M; Wernecke M; Macurdy T; Chu S; Kelman J,"The us food and drug administration monitors the risk of guillain-barré syndrome (gbs) following influenza vaccination using several data sources including medicare. In the 2017 to 2018 season, we transitioned our near real-time surveillance in medicare to more effectively detect large gbs risk increases early in the season while avoiding false positives. We conducted a simulation study examining the ability of the updating sequential probability ratio test (usprt) to detect substantially elevated gbs risk in the 8- to 21-day postvaccination versus 5× to 30× the historical rate. We varied the first testing week (weeks 5-8) and the null rate (1×-3×) and evaluated power. We estimated signal probability and the risk ratio (rr) after signaling when high-risk seasons were rare. Applying fixed alternatives, we found >80% power to detect a risk 30× the historical rate in week 5 for the 1× null and in week 6 for the 1.5× to 3× nulls. Nearly all testing schedules had >80% power for a 5× risk by week 11. To test the robustness of usprt, we further simulated seasons where 1% were true high-risk seasons. Using a 1× null led to 10% of seasons signaling by week 11 (median rr approximately 1.4), which decreased to approximately 1% with the ≥2.5× null (median rr approximately 16.0). On the basis of the results from this simulation and subsequent consultations with experts and stakeholders, we specified usprt to test continuously from weeks 7 to 11 using the null hypothesis that the observed gbs rate was 2.5× the historical rate. This helped improve the ability of usprt to provide early detection of gbs risk following influenza vaccination as part of a multilayered system of surveillance.",,,,,,,31222967,10.1002/pds.4807,,#2126,,"",""
A tool for empirical equipoise assessment in multigroup comparative effectiveness research.,Yoshida K; Solomon Dh; Haneuse S; Kim Sc; Patorno E; Tedeschi Sk; Lyu H; Hernández-Díaz S; Glynn Rj,"In observational research, equipoise concerns whether groups being compared are similar enough for valid inference. Empirical equipoise was previously proposed as a tool to assess patient similarity based on propensity scores (ps). We extended this work for multigroup observational studies. We modified the tool to allow for multinomial exposures such that the proposed definition reduces to the original when there are only two groups. We illustrated how the tool can be used as a method to assess study design within three-group clinical examples. We then conducted three-group simulations to assess how the tool performed in a setting with residual confounding after ps weighting. In a clinical example based on rheumatoid arthritis, 44.5% of the sample fell within the region of empirical equipoise when considering first-line biologics, whereas 57.7% did so for second-line biologics, consistent with the expectation that a second-line design results in better equipoise. In a simulation where the unmeasured confounder had the same magnitude of association with the treatment as the measured confounders and a 25% greater association with the outcome, the tool crossed the proposed threshold for empirical equipoise at a residual confounding of 20% on the ratio scale. When the unmeasured variable had a twice larger association with treatment, the tool became less sensitive and crossed the threshold at a residual confounding of 30%. Our proposed tool may be useful in guiding cohort identification in multigroup observational studies, particularly with similar effects of unmeasured and measured covariates on treatment and outcome.",,,,,,,31131965,10.1002/pds.4767,,#2128,,"",""
Evaluating the use of bootstrapping in cohort studies conducted with 1:1 propensity score matching-a plasmode simulation study.,Desai Rj; Wyss R; Abdia Y; Toh S; Johnson M; Lee H; Karami S; Major Jm; Nguyen M; Wang Sv; Franklin Jm; Gagne Jj,"Bootstrapping can account for uncertainty in propensity score (ps) estimation and matching processes in 1:1 ps-matched cohort studies. While theory suggests that the classical bootstrap can fail to produce proper coverage, practical impact of this theoretical limitation in settings typical to pharmacoepidemiology is not well studied. In a plasmode-based simulation study, we compared performance of the standard parametric approach, which ignores uncertainty in ps estimation and matching, with two bootstrapping methods. The first method only accounted for uncertainty introduced during the matching process (the observation resampling approach). The second method accounted for uncertainty introduced during both ps estimation and matching processes (the ps reestimation approach). Variance was estimated based on percentile and empirical standard errors, and treatment effect estimation was based on median and mean of the estimated treatment effects across 1000 bootstrap resamples. Two treatment prevalence scenarios (5% and 29%) across two treatment effect scenarios (hazard ratio of 1.0 and 2.0) were evaluated in 500 simulated cohorts of 10 000 patients each. We observed that 95% confidence intervals from the bootstrapping approaches but not the standard approach, resulted in inaccurate coverage rates (98%-100% for the observation resampling approach, 99%-100% for the ps reestimation approach, and 95%-96% for standard approach). Treatment effect estimation based on bootstrapping approaches resulted in lower bias than the standard approach (less than 1.4% vs 4.1%) at 5% treatment prevalence; however, the performance was equivalent at 29% treatment prevalence. Use of bootstrapping led to variance overestimation and inconsistent coverage, while coverage remained more consistent with parametric estimation.",,,,,,,31020732,10.1002/pds.4784,,#2129,,"",""
An evaluation of the impact of missing deaths on overall survival analyses of advanced non-small cell lung cancer patients conducted in an electronic health records database.,Carrigan G; Whipple S; Taylor Md; Torres Az; Gossai A; Arnieri B; Tucker M; Hofmeister Pp; Lambert P; Griffith Sd; Capra Wb,"The aim of this study was to assess the impact of missing death data on survival analyses conducted in an oncology ehr-derived database. The study was conducted using the flatiron health oncology database and the national death index (ndi) as a gold standard. Three analytic frameworks were evaluated in advanced non-small cell lung cancer (ansclc) patients: median overall survival [mos]), relative risk estimates conducted within the ehr-derived database, and ""external control arm"" analyses comparing an experimental group augmented with mortality data from the gold standard to a control group from the ehr-derived database only. The hazard ratios (hrs) obtained within the ehr-derived database (91% sensitivity) and the external control arm analyses, were compared with results when both groups were augmented with mortality data from the gold standard. The above analyses were repeated using simulated lower mortality sensitivities to understand the impact of more extreme levels of missing deaths. Bias in mos ranged from modest (0.6-0.9 mos.) in the ehr-derived cohort with (91% sensitivity) to substantial when lower sensitivities were generated through simulation (3.3-9.7 mos.). Overall, small differences were observed in the hrs for the ehr-derived cohort across comparative analyses when compared with hrs obtained using the gold standard data source. When only one treatment arm was subject to estimation bias, the bias was slightly more pronounced, but increased substantially when lower sensitivities were simulated. The impact on survival analysis is minimal with high mortality sensitivity with only modest impact associated within external control arm applications.",,,,,,,30873729,10.1002/pds.4758,,#2130,,"",""
Quantifying bias reduction with fixed-duration versus all-available covariate assessment periods.,Connolly Jg; Schneeweiss S; Glynn Rj; Gagne Jj,"Implementing a cohort study in longitudinal healthcare databases requires looking back over some covariate assessment period (cap) preceding cohort entry to measure confounders. We used simulations to compare fixed-duration versus all-available caps for confounder adjustment in the presence of differences in available baseline time between exposure groups. We simulated cohorts of 10 000 patients with binary variables for a single confounder, exposure, and outcome. Baseline time was simulated based on the observed distribution in a claims-based comparison of statin users versus nonusers. We compared bias after measuring confounders using fixed-duration and all-available caps, both when exposure groups had similar and discrepant amounts of available baseline time. When the comparison groups had similar amounts of baseline time, an all-available cap was less biased than a fixed-duration cap. When baseline time differed between comparison groups, the preferable cap approach depended on the direction of confounding and which exposure group had higher covariate sensitivity. These findings were consistent in direction across sensitivity analyses. In certain settings of differential available baseline time between exposure groups, the all-available cap was more biased than the fixed-duration cap. The relative directions and strengths of confounding and misclassification biases are an important consideration when choosing between a fixed-duration or all-available cap, but they are often unknown. Therefore, we recommend comparing the amount of available baseline time between exposure groups. When there is a large discrepancy, despite appropriate design choices, we recommend a fixed-duration approach to avoid potential increases in bias because of differential data availability.",,,,,,,30786103,10.1002/pds.4729,,#2131,,"",""
Propensity score methods and regression adjustment for analysis of nonrandomized studies with health-related quality of life outcomes.,Cottone F; Anota A; Bonnetain F; Collins Gs; Efficace F,"The aim of this study was to investigate the potential added value of combining propensity score (ps) methods with multivariable linear regression (mlr) in estimating the average treatment effect on the treated (att) in nonrandomized studies with health-related quality of life (hrqol) outcomes. We first used simulations to compare the performances of different ps-based methods, either alone or in combination with further mlr adjustment, in estimating att. Ps methods were, respectively, optimal pair (opm) and full (ofm) ps matching, subclassification on the ps (sbc), and the inverse probability of treatment weighting (iptw). We simulated several scenarios, according to different sample sizes, proportions of treated vs untreated subjects, and types of hrqol outcomes. We also applied the same methods to a real clinical data set. Opm and iptw provided the closest type i error to the nominal threshold α = 0.05 across all scenarios. Overall, both methods showed also lower variability in estimates than sbc and ofm. Sbc performed worst, generally providing the highest levels of bias. Further mlr adjustment lessened bias for all methods, however providing higher type i error for sbc and ofm. In the real case, all methods provided similar att estimates except for one outcome. Our findings suggest that for sample sizes up to n = 200, opm and iptw are to be preferred to ofm and sbc in estimating att on hrqol outcomes. Specifically, opm performed best in sample sizes of n ≥ 80, iptw for smaller sample sizes. Additional mlr adjustment can further improve att estimates.",,,,,,,30784132,10.1002/pds.4756,,#2132,,"",""
Conditional validation sampling for consistent risk estimation with binary outcome data subject to misclassification.,Gravel Ca; Farrell Pj; Krewski D,"Misclassification of a binary outcome can introduce bias in estimation of the odds-ratio associated with an exposure of interest in pharmacoepidemiology research. It has been previously demonstrated that utilizing information from an internal randomly selected validation sample can help mitigate this bias. Using a monte carlo simulation-based approach, we study the properties of misclassification bias-adjusted odds-ratio estimators in a contingency table setting. We consider two methods of internal validation sampling; namely, simple random sampling and sampling conditional on the original (possibly incorrect) outcome status. Additional simulation studies are conducted to investigate these sampling approaches in a multi-table setting. We demonstrate that conditional validation sampling, across a range of subsampling fractions, can produce better estimates than those based on an unconditional simple random sample. This approach allows for greater flexibility in the chosen categorical composition of the validation data, as well as the potential for obtaining a more efficient estimator of the odds-ratio. We further demonstrate that this relationship holds for the mantel-haenszel misclassification bias-adjusted odds-ratio in stratified samples. Recommendations for the choice of validation subsampling fraction are also provided. Careful consideration when choosing the sampling scheme used to draw internal validation samples can improve the properties of the outcome misclassification bias-adjusted odds-ratio estimator in a (multiple) contingency table.",,,,,,,30746841,10.1002/pds.4701,,#2133,,"",""
Comparing external and internal validation methods in correcting outcome misclassification bias in logistic regression: a simulation study and application to the case of postsurgical venous thromboembolism following total hip and knee arthroplasty.,Ni J; Dasgupta K; Kahn Sr; Talbot D; Lefebvre G; Lix Lm; Berry G; Burman M; Dimentberg R; Laflamme Y; Cirkovic A; Rahme E,"We assessed the validity of postsurgery venous thromboembolism (vte) diagnoses identified from administrative databases and compared bayesian and multiple imputation (mi) approaches in correcting for outcome misclassification in logistic regression models. Sensitivity and specificity of postsurgery vte among patients undergoing total hip or knee replacement (thr/tkr) were assessed against chart review in six montreal hospitals in 2009 to 2010. Administrative data on all thr/tkr quebec patients in 2009 to 2010 were obtained. The performance of bayesian external, bayesian internal, and mi approaches to correct the odds ratio (or) of postsurgery vte in tertiary versus community hospitals was assessed using simulations. Bayesian external approach used prior information from external sources, while bayesian internal and mi approaches used chart review. In total, 17 319 patients were included, 2136 in participating hospitals, among whom 75 had vte in administrative data versus 81 in chart review. Vte sensitivity was 0.59 (95% confidence interval, 0.48-0.69) and specificity was 0.99 (0.98-0.99), overall. The adjusted or of vte in tertiary versus community hospitals was 1.35 (1.12-1.64) using administrative data, 1.45 (0.97-2.19) when mi was used for misclassification correction, and 1.53 (0.83-2.87) and 1.57 (0.39-5.24) when bayesian internal and external approaches were used, respectively. In simulations, all three approaches reduced the or bias and had appropriate coverage for both nondifferential and differential misclassification. Vte identified from administrative data had low sensitivity and high specificity. The bayesian external approach was useful to reduce outcome misclassification bias in logistic regression; however, it required accurate specification of the misclassification properties and should be used with caution.",,,,,,,30515908,10.1002/pds.4693,,#2134,,"",""
Inflation of type i error rates due to differential misclassification in ehr-derived outcomes: empirical illustration using breast cancer recurrence.,Chen Y; Wang J; Chubak J; Hubbard Ra,"Many outcomes derived from electronic health records (ehr) not only are imperfect but also may suffer from exposure-dependent differential misclassification due to variability in the quality and availability of ehr data across exposure groups. The objective of this study was to quantify the inflation of type i error rates that can result from differential outcome misclassification. We used data on gold-standard and ehr-derived second breast cancers in a cohort of women with a prior breast cancer diagnosis from 1993 to 2006 enrolled in kaiser permanente washington. We simulated an exposure that was independent of the true outcome status. A surrogate outcome was then simulated with varying sensitivity and specificity according to exposure status. We estimated the type i error rate for a test of association relating this exposure to the surrogate outcome, while varying outcome sensitivity and specificity in exposed individuals. Type i error rates were substantially inflated above the nominal level (5%) for even modest departures from nondifferential misclassification. Holding sensitivity in exposed and unexposed groups at 85%, a difference in specificity of 10% between the exposed and unexposed (80% vs 90%) resulted in a 36% type i error rate. Type i error was inflated more by differential specificity than sensitivity. Differential outcome misclassification may induce spurious findings. Researchers using ehr-derived outcomes should use misclassification-adjusted methods whenever possible or conduct sensitivity analyses to investigate the possibility of false-positive findings, especially for exposures that may be related to the accuracy of outcome ascertainment.",,,,,,,30375122,10.1002/pds.4680,,#2135,,"",""
Comparison of privacy-protecting analytic and data-sharing methods: a simulation study.,Yoshida K; Gruber S; Fireman Bh; Toh S,"Privacy-protecting analytic and data-sharing methods that minimize the disclosure risk of sensitive information are increasingly important due to the growing interest in utilizing data across multiple sources. We conducted a simulation study to examine how avoiding sharing individual-level data in a distributed data network can affect analytic results. The base scenario had four sites of varying sizes with 5% outcome incidence, 50% treatment prevalence, and seven confounders. We varied treatment prevalence, outcome incidence, treatment effect, site size, number of sites, and covariate distribution. Confounding adjustment was conducted using propensity score or disease risk score. We compared analyses of three types of aggregate-level data requested from sites: risk-set, summary-table, or effect-estimate data (meta-analysis) with benchmark results of analysis of pooled individual-level data. We assessed bias and precision of hazard ratio estimates as well as the accuracy of standard error estimates. All the aggregate-level data-sharing approaches, regardless of confounding adjustment methods, successfully approximated pooled individual-level data analysis in most simulation scenarios. Meta-analysis showed minor bias when using inverse probability of treatment weights (iptw) in infrequent exposure (5%), rare outcome (0.01%), and small site (5,000 patients) settings. Se estimates became less accurate for iptw risk-set approach with less frequent exposure and for propensity score-matching meta-analysis approach with rare outcomes. Overall, we found that we can avoid sharing individual-level data and obtain valid results in many settings, although care must be taken with meta-analysis approach in infrequent exposure and rare outcome scenarios, particularly when confounding adjustment is performed with iptw.",,,,,,,30022561,10.1002/pds.4615,,#2136,,"",""
Bias from restricting to live births when estimating effects of prescription drug use on pregnancy complications: a simulation.,Suarez Ea; Landi Sn; Conover Mm; Jonsson Funk M,"Administrative claim databases are increasingly being used to study the safety of medication exposures during pregnancy. These studies are restricted to live births due to a reliance on algorithms for estimating gestational age that are based on codes associated with live delivery. Conditioning on live birth may induce selection bias when studying the effect of a drug on a pregnancy complication if fetal death is a competing risk for the complication or is caused by the complication. We simulated a population of 100,000 pregnancies and estimated the impact of selection bias on relative estimates for the effect of antidepressant exposure on the outcome of preeclampsia. We assumed that the exposure, outcome, and covariates increased the risk of fetal loss. A downward bias in the risk ratio was consistently observed when conditioning on live births. When an unmeasured covariate was assumed to be a common cause of fetal death, antidepressant use, and preeclampsia, the direction of bias varied depending on the strength of the confounding relationship coupled with the selection bias. Despite the very low prevalence of stillbirth, the strength of the relationship between antidepressant use and stillbirth had a substantial impact on bias. Conditioning on live birth can be problematic when studying pregnancy complications. Simple quantitative selection bias analysis in populations restricted to live births may not fully account for selection bias.",,,,,,,29341340,10.1002/pds.4387,,#2137,,"",""
Bias from outcome misclassification in immunization schedule safety research.,Newcomer Sr; Kulldorff M; Xu S; Daley Mf; Fireman B; Lewis E; Glanz Jm,"The institute of medicine recommended conducting observational studies of childhood immunization schedule safety. Such studies could be biased by outcome misclassification, leading to incorrect inferences. Using simulations, we evaluated (1) outcome positive predictive values (ppvs) as indicators of bias of an exposure-outcome association, and (2) quantitative bias analyses (qba) for bias correction. Simulations were conducted based on proposed or ongoing vaccine safety datalink studies. We simulated 4 studies of 2 exposure groups (children with no vaccines or on alternative schedules) and 2 baseline outcome levels (100 and 1000/100 000 person-years), with 3 relative risk (rr) levels (rr = 0.50, 1.00, and 2.00), across 1000 replications using probabilistic modeling. We quantified bias from non-differential and differential outcome misclassification, based on levels previously measured in database research (sensitivity > 95%; specificity > 99%). We calculated median outcome ppvs, median observed rrs, type 1 error, and bias-corrected rrs following qba. We observed ppvs from 34% to 98%. With non-differential misclassification and true rr = 2.00, median bias was toward the null, with severe bias (median observed rr = 1.33) with ppv = 34% and modest bias (median observed rr = 1.83) with ppv = 83%. With differential misclassification, ppvs did not reflect median bias, and there was type 1 error of 100% with ppv = 90%. Qba was generally effective in correcting misclassification bias. In immunization schedule studies, outcome misclassification may be non-differential or differential to exposure. Overall outcome ppvs do not reflect the distribution of false positives by exposure and are poor indicators of bias in individual studies. Our results support qba for immunization schedule safety research.",,,,,,,29292551,10.1002/pds.4374,,#2138,,"",""
Comparison of the ability of double-robust estimators to correct bias in propensity score matching analysis. A monte carlo simulation study.,Nguyen Tl; Collins Gs; Spence J; Devereaux Pj; Daurès Jp; Landais P; Le Manach Y,"As covariates are not always adequately balanced after propensity score matching and double- adjustment can be used to remove residual confounding, we compared the performance of several double-robust estimators in different scenarios. We conducted a series of monte carlo simulations on virtual observational studies. After estimating the propensity scores by logistic regression, we performed 1:1 optimal, nearest-neighbor, and caliper matching. We used 4 estimators on each matched sample: (1) a crude estimator without double-adjustment, (2) double-adjustment for the propensity scores, (3) double-adjustment for the unweighted unbalanced covariates, and (4) double-adjustment for the unbalanced covariates, weighted by their strength of association with the outcome. The crude estimator led to highest bias in all tested scenarios. Double-adjustment for the propensity scores effectively removed confounding only when the propensity score models were correctly specified. Double-adjustment for the unbalanced covariates was more robust to misspecification. Double-adjustment for the weighted unbalanced covariates outperformed the other approaches in every scenario and using any matching algorithm, as measured by the mean squared error. Double-adjustment can be used to remove residual confounding after propensity score matching. The unbalanced covariates with the strongest confounding effects should be adjusted.",,,,,,,28984050,10.1002/pds.4325,,#2139,,"",""
Combining evidence from multiple electronic health care databases: performances of one-stage and two-stage meta-analysis in matched case-control studies.,La Gamba F; Corrao G; Romio S; Sturkenboom M; Trifirò G; Schink T; De Ridder M,"Clustering of patients in databases is usually ignored in one-stage meta-analysis of multi-database studies using matched case-control data. The aim of this study was to compare bias and efficiency of such a one-stage meta-analysis with a two-stage meta-analysis. First, we compared the approaches by generating matched case-control data under 5 simulated scenarios, built by varying: (1) the exposure-outcome association; (2) its variability among databases; (3) the confounding strength of one covariate on this association; (4) its variability; and (5) the (heterogeneous) confounding strength of two covariates. Second, we made the same comparison using empirical data from the aritmo project, a multiple database study investigating the risk of ventricular arrhythmia following the use of medications with arrhythmogenic potential. In our study, we specifically investigated the effect of current use of promethazine. Bias increased for one-stage meta-analysis with increasing (1) between-database variance of exposure effect and (2) heterogeneous confounding generated by two covariates. The efficiency of one-stage meta-analysis was slightly lower than that of two-stage meta-analysis for the majority of investigated scenarios. Based on aritmo data, there were no evident differences between one-stage (or = 1.50, ci = [1.08; 2.08]) and two-stage (or = 1.55, ci = [1.12; 2.16]) approaches. When the effect of interest is heterogeneous, a one-stage meta-analysis ignoring clustering gives biased estimates. Two-stage meta-analysis generates estimates at least as accurate and precise as one-stage meta-analysis. However, in a study using small databases and rare exposures and/or outcomes, a correct one-stage meta-analysis becomes essential.",,,,,,,28799196,10.1002/pds.4280,,#2140,,"",""
Correcting hazard ratio estimates for outcome misclassification using multiple imputation with internal validation data.,Ni J; Leong A; Dasgupta K; Rahme E,"Outcome misclassification may occur in observational studies using administrative databases. We evaluated a two-step multiple imputation approach based on complementary internal validation data obtained from two subsamples of study participants to reduce bias in hazard ratio (hr) estimates in cox regressions. We illustrated this approach using data from a surveyed sample of 6247 individuals in a study of statin-diabetes association in quebec. We corrected diabetes status and onset assessed from health administrative data against self-reported diabetes and/or elevated fasting blood glucose (fbg) assessed in subsamples. The association between statin use and new onset diabetes was evaluated using administrative data and the corrected data. By simulation, we assessed the performance of this method varying the true hr, sensitivity, specificity, and the size of validation subsamples. The adjusted hr of new onset diabetes among statin users versus non-users was 1.61 (95% confidence interval: 1.09-2.38) using administrative data only, 1.49 (0.95-2.34) when diabetes status and onset were corrected based on self-report and undiagnosed diabetes (fbg ≥ 7 mmol/l), and 1.36 (0.92-2.01) when corrected for self-report and undiagnosed diabetes/impaired fbg (≥ 6 mmol/l). In simulations, the multiple imputation approach yielded less biased hr estimates and appropriate coverage for both non-differential and differential misclassification. Large variations in the corrected hr estimates were observed using validation subsamples with low participation proportion. The bias correction was sometimes outweighed by the uncertainty introduced by the unknown time of event occurrence. Multiple imputation is useful to correct for outcome misclassification in time-to-event analyses if complementary validation data are available from subsamples. Copyright © 2017 john wiley & sons, ltd.",,,,,,,28503870,10.1002/pds.4223,,#2141,,"",""
A comparison of entropy balance and probability weighting methods to generalize observational cohorts to a population: a simulation and empirical example.,Harvey Ra; Hayden Jd; Kamble Ps; Bouchard Jr; Huang Jc,"We compared methods to control bias and confounding in observational studies including inverse probability weighting (ipw) and stabilized ipw (sipw). These methods often require iteration and post-calibration to achieve covariate balance. In comparison, entropy balance (eb) optimizes covariate balance a priori by calibrating weights using the target's moments as constraints. We measured covariate balance empirically and by simulation by using absolute standardized mean difference (asmd), absolute bias (ab), and root mean square error (rmse), investigating two scenarios: the size of the observed (exposed) cohort exceeds the target (unexposed) cohort and vice versa. The empirical application weighted a commercial health plan cohort to a nationally representative national health and nutrition examination survey target on the same covariates and compared average total health care cost estimates across methods. Entropy balance alone achieved balance (asmd ≤ 0.10) on all covariates in simulation and empirically. In simulation scenario i, eb achieved the lowest ab and rmse (13.64, 31.19) compared with ipw (263.05, 263.99) and sipw (319.91, 320.71). In scenario ii, eb outperformed ipw and sipw with smaller ab and rmse. In scenarios i and ii, eb achieved the lowest mean estimate difference from the simulated population outcome ($490.05, $487.62) compared with ipw and sipw, respectively. Empirically, only eb differed from the unweighted mean cost indicating ipw, and sipw weighting was ineffective. Entropy balance demonstrated the bias-variance tradeoff achieving higher estimate accuracy, yet lower estimate precision, compared with ipw methods. Eb weighting required no post-processing and effectively mitigated observed bias and confounding. Copyright © 2016 john wiley & sons, ltd.",,,,,,,27859943,10.1002/pds.4121,,#2143,,"",""
